,Unnamed: 0,URL(currentwebsite)
1,1,https://www.ema.europa.eu/en/documents/product-information/myozyme-epar-product-information_en.pdf
2,2,https://www.ema.europa.eu/en/documents/product-information/spikevax-previously-covid-19-vaccine-moderna-epar-product-information_en.pdf
3,3,https://www.ema.europa.eu/en/documents/product-information/clopidogrel-ratiopharm-epar-product-information_en-0.pdf
4,4,https://www.ema.europa.eu/en/documents/product-information/incruse-ellipta-epar-product-information_en.pdf
5,5,https://www.ema.europa.eu/en/documents/product-information/stelara-epar-product-information_en.pdf
6,6,https://www.ema.europa.eu/en/documents/product-information/modigraf-epar-product-information_en.pdf
7,7,https://www.ema.europa.eu/en/documents/product-information/kengrexal-epar-product-information_en.pdf
8,8,https://www.ema.europa.eu/en/documents/product-information/hycamtin-epar-product-information_en.pdf
9,9,https://www.ema.europa.eu/en/documents/product-information/ellaone-epar-product-information_en.pdf
10,10,https://www.ema.europa.eu/en/documents/product-information/jcovden-previously-covid-19-vaccine-janssen-epar-product-information_en.pdf
11,11,https://www.ema.europa.eu/en/documents/product-information/enhertu-epar-product-information_en.pdf
12,12,https://www.ema.europa.eu/en/documents/product-information/advagraf-epar-product-information_en.pdf
13,13,https://www.ema.europa.eu/en/documents/product-information/plenadren-epar-product-information_en.pdf
14,14,https://www.ema.europa.eu/en/documents/product-information/herzuma-epar-product-information_en.pdf
15,15,https://www.ema.europa.eu/en/documents/product-information/iasibon-epar-product-information_en.pdf
16,16,https://www.ema.europa.eu/en/documents/product-information/fulphila-epar-product-information_en.pdf
17,17,https://www.ema.europa.eu/en/documents/product-information/teriflunomide-accord-epar-product-information_en.pdf
18,18,https://www.ema.europa.eu/en/documents/product-information/trumenba-epar-product-information_en.pdf
19,19,https://www.ema.europa.eu/en/documents/product-information/descovy-epar-product-information_en.pdf
20,20,https://www.ema.europa.eu/en/documents/product-information/adasuve-epar-product-information_en.pdf
21,21,https://www.ema.europa.eu/en/documents/product-information/halaven-epar-product-information_en.pdf
22,22,https://www.ema.europa.eu/en/documents/product-information/blitzima-epar-product-information_en.pdf
23,23,https://www.ema.europa.eu/en/documents/product-information/exparel-liposomal-epar-product-information_en.pdf
24,24,https://www.ema.europa.eu/en/documents/product-information/zolgensma-epar-product-information_en.pdf
25,25,https://www.ema.europa.eu/en/documents/product-information/eylea-epar-product-information_en.pdf
26,26,https://www.ema.europa.eu/en/documents/product-information/soliris-epar-product-information_en.pdf
