ProductName,ProductNumber,Domain,LanguageCode,URL(oldwebsite),URL(currentwebsite)
Abasaglar (previouslyAbasria),EMEA/H/C/002835,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002835/WC500175381.pdf,https://www.ema.europa.eu/en/documents/product-information/abasaglar-previously-abasria-epar-product-information_en.pdf
Abecma,EMEA/H/C/004662,human,en,,https://www.ema.europa.eu/en/documents/product-information/abecma-epar-product-information_en.pdf
Abevmy,EMEA/H/C/005327,human,en,,https://www.ema.europa.eu/en/documents/product-information/abevmy-epar-product-information_en.pdf
Abilify,EMEA/H/C/000471,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000471/WC500020170.pdf,https://www.ema.europa.eu/en/documents/product-information/abilify-epar-product-information_en.pdf
Abilify Maintena,EMEA/H/C/002755,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002755/WC500156111.pdf,https://www.ema.europa.eu/en/documents/product-information/abilify-maintena-epar-product-information_en.pdf
Abiraterone Accord,EMEA/H/C/005408,human,en,,https://www.ema.europa.eu/en/documents/product-information/abiraterone-accord-epar-product-information_en.pdf
Abiraterone Krka,EMEA/H/C/005649,human,en,,https://www.ema.europa.eu/en/documents/product-information/abiraterone-krka-epar-product-information_en.pdf
Abiraterone Mylan,EMEA/H/C/005368,human,en,,https://www.ema.europa.eu/en/documents/product-information/abiraterone-mylan-epar-product-information_en.pdf
Ablavar (previously Vasovist),EMEA/H/C/000601,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000601/WC500047514.pdf,https://www.ema.europa.eu/en/documents/product-information/ablavar-epar-product-information_en.pdf
Abraxane,EMEA/H/C/000778,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000778/WC500020435.pdf,https://www.ema.europa.eu/en/documents/product-information/abraxane-epar-product-information_en.pdf
Abseamed,EMEA/H/C/000727,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000727/WC500020661.pdf,https://www.ema.europa.eu/en/documents/product-information/abseamed-epar-product-information_en.pdf
Accofil,EMEA/H/C/003956,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/003956/WC500176638.pdf,https://www.ema.europa.eu/en/documents/product-information/accofil-epar-product-information_en.pdf
